City_ID,City,Lat,Lng,Max Temp,Humidity,Cloudiness,Wind Speed,Country
378,luanda,-8.8368,13.2343,297.04,85,100,3.19,AO
379,kieta,-6.2167,155.6333,298.88,85,100,1.76,PG
380,venice,27.0998,-82.4543,293.71,94,0,0.0,US
381,mao,39.8885,4.2658,286.46,100,0,3.6,ES
382,tumbi,-5.0667,32.7333,291.95,89,100,1.25,TZ
383,hualmay,-11.0964,-77.6139,291.93,86,93,3.22,PE
384,weihe,32.9952,105.3247,278.75,58,73,1.29,CN
385,nayoro,44.3506,142.4578,271.48,79,56,5.99,JP
386,vestmanna,62.1564,-7.1664,275.66,60,100,7.2,FO
387,oktyabrskoye,43.0645,44.7417,269.23,93,92,4.0,RU
388,port-gentil,-0.7193,8.7815,300.2,78,100,3.54,GA
389,eyl,7.9803,49.8164,297.98,67,83,7.91,SO
390,kropotkin,45.4375,40.5756,268.97,76,10,8.55,RU
391,chesterfield,37.3835,-77.5997,278.61,93,0,1.54,US
392,arti,56.4234,58.5328,252.4,100,13,1.04,RU
393,yeppoon,-23.1333,150.7333,307.03,56,0,6.09,AU
394,ubinskoye,55.3068,79.6802,251.32,98,60,1.92,RU
395,carahue,-38.7,-73.1667,286.46,91,59,1.04,CL
396,barhi,23.9,80.8,292.43,42,0,1.32,IN
397,dzhebariki-khaya,62.2167,135.8,244.82,96,100,1.32,RU
398,mezen,65.8522,44.24,265.69,92,100,5.9,RU
399,naushki,50.3828,106.1056,257.59,68,100,2.57,RU
400,eureka,40.8021,-124.1637,279.68,94,14,2.1,US
401,tottori,35.5,134.2333,282.49,70,96,6.39,JP
402,saint-pierre,-21.3393,55.4781,298.97,73,75,6.17,RE
403,souillac,-20.5167,57.5167,299.36,73,40,6.69,MU
404,bud,39.447,-86.1758,279.21,94,100,2.29,US
405,san rafael,-34.6177,-68.3301,296.48,60,40,0.0,AR
406,dongsheng,39.8161,109.9776,268.45,28,5,2.3,CN
407,deloraine,-41.5333,146.6667,290.45,30,8,2.68,AU
408,plover,44.4564,-89.544,272.62,55,100,3.58,US
409,farmington,36.7281,-108.2187,279.53,68,75,3.6,US
410,isangel,-19.55,169.2667,302.19,71,72,2.71,VU
411,belaya gora,68.5333,146.4167,231.94,97,35,0.56,RU
412,mehamn,71.0357,27.8492,275.12,93,75,4.12,NO
413,vostok,46.4856,135.8833,260.66,77,85,4.42,RU
414,kulhudhuffushi,6.6221,73.07,299.89,80,87,4.85,MV
415,hrodna,53.6884,23.8258,270.07,100,100,3.0,BY
416,conakry,9.538,-13.6773,299.73,78,18,3.64,GN
417,yulara,-25.2406,130.9889,314.07,8,27,7.88,AU
418,dingle,10.9995,122.6711,302.1,70,30,5.77,PH
419,kirgiz-miyaki,53.6324,54.7979,249.35,100,78,0.48,RU
420,caluquembe,-13.7833,14.6833,289.42,84,100,0.17,AO
421,ulladulla,-35.35,150.4667,291.82,61,73,4.47,AU
422,roald,62.5833,6.1333,278.01,87,40,7.72,NO
